COD_IDCONTRA,COD_PERSONA,FAP_CONTR,IMP_CAPDIS,IMP_CAPINI,IMP_CAPPEN
00000000000000000280189121,415417,20MAY2016,15000.00,15000.00,13270.36
00000000000000000017070620,427537,08JUL2004,163416.29,116804.27,117658.53
00000000000000000151566803,429738,30MAY2012,3526.59,3526.59,0.00
00000000000000000273006452,430311,26JAN2016,3281.90,3281.90,1431.32
00000000000000000275803602,440970,08MAR2016,388.80,388.80,0.00
00000000000000000278256060,440970,19APR2016,24000.00,24000.00,12746.65
00000000000000000024277003,442415,21MAY2001,51086.03,51086.03,14708.14
00000000000000000283748366,444352,25JAN2007,255000.00,255000.00,179311.52
00000000000000000339597841,447002,23MAY2005,65000.00,65000.00,32399.79
00000000000000000097810047,452845,17SEP2010,37279.60,37279.60,16082.29
00000000000000000117549019,452845,17FEB2011,11575.96,11575.96,0.00
00000000000000000170146918,453609,26JUN2003,84000.00,84000.00,69144.39
00000000000000000278107444,453609,20APR2016,7509.65,7509.65,6347.15
00000000000000000018145043,453740,08NOV2007,15957.52,15957.52,1786.48
00000000000000000175792603,453789,10JUN2005,160000.00,160000.00,94362.48
00000000000000000359437423,455238,02SEP2016,0.00,827.69,0.00
00000000000000000142223113,457897,30SEP2011,38000.00,38000.00,0.00
00000000000000000280728985,457897,15JUN2016,17000.00,17000.00,15142.33
00000000000000000081042934,463372,23APR2010,300000.00,300000.00,168929.05
00000000000000000367475165,463372,28DEC2016,70000.00,70000.00,66982.31
00000000000000000155448699,465775,10OCT2012,88000.00,88000.00,0.00
00000000000000000364379858,465775,29MAR2017,78409.83,78409.83,77984.52
